id,eng_paranthesis,swe_paranthesis
ICT60,(purpose/task/...),
ICT6,(Third Generation),(andra generationen)
ICT7,(three dimensional),
ICT14,(Third Generation),(tredje generationen)
ICT18,(Fourth Generation),(fjärde generationen)
ICT153,(app),(app)
ICT158,(API),(API)
ICT161,(ASIC),(ASIC)
ACM422,(functional),(funktionella språk)
ACM304,(Functional),
ACM237,(ATM),(ATM)
ACM305,(I.2.2),(1.2.2)
ICT277,(Am.),
ICT291,(109),
ICT353,(BI),
ICT357,(BMO),
ICT366,(B2B),
ICT368,(BHCA),(BHCA)
ACM218,,(t.ex. mobil)
ICT419,(Am.),
ICT425,(CA),
ICT483,(CSP),
ICT488,(CODEC),
ACM556,(H.1.1),(H.1.1)
ACM493,(C.2),
ICT521,,(KPM)
ACM586,(2),(2)
ACM1157,(Coding),(kodning)
ACM596,,(t.ex. den snabba Fourier-transformen)
ICT554,(CPR),
ACM1326,(CAD),(CAD)
ACM1327,(CAM),(CAM)
ACM324,(CASE),(CASE)
ACM1328,(C.3),(C.3)
ICT580,(in conjunction with),(tillsammans med)
ACM1119,(CSG),(CSG)
ICT614,(CM),
ICT633,(CCE),
ACM11,(3.2),
ICT656,(verb),
ICT657,(nouns),
ICT675,(CBA),
ICT682,(IED),
ICT717,(CLS),
ICT724,(CRM),
ICT731,(CRC),
ICT742,(DCU),
ACM836,(DDL),(DDL)
ACM553,(DES),
ACM837,(DML),(DML)
ICT757,(DTLS),
ACM1014,(F.4.1),
ICT799,(DMZ),
ICT802,(DoS),
ACM395,(2),(2)
ICT823,(DOE),
ACM64,(4.2),
ICT857,(DAB),
ICT861,(DSP),
ICT863,(DSL),
ICT864,(DVB-T),
ICT868,(DMA),
ICT903,(DHT),
ACM1280,(4.1),
ICT915,(DNS),
ICT916,(DNS),
ICT943,(D4M),
ACM61,(DRAM),(DRAM)
ICT975,,(24-timmarsmyndighet)
ICT984,(ECG),
ICT985,(ECG),(EKG)
ICT987,(EMF),
ACM1389,(J.1),(J.1)
ICT989,(ECU),
ACM1392,(EDI),(EDI)
ICT991,(EPR),
ICT992,(EPG),
ICT1028,(human factor),(mänskliga faktorn)
ICT1063,(ERP),
ACM265,,(t.ex. CSMA/CD)
ICT1101,(ESM),
ICT1198,(FTTH),
ICT1201,(FPGA),
ACM487,(E.5),(E.5)
ICT1209,(FTP),
ICT1210,(verb),
ACM1292,,(t.ex. elektronisk överföring av finansiella transaktioner)
ICT1223,(FE),(FE)
ICT1225,(FSM),
ACM654,(3.1),
ICT1299,(FSVM),
ACM480,,(garbage collection)
ACM315,(K.5.1),(K.5.1)
ICT1320,(GA),
ICT1326,(GIS),
ICT1333,(geographic privacy),(geografisk integritet)
ICT1362,(GUI),
ICT1363,(GPU),
ICT1373,(GSM),
ACM1087,(4.2),
ACM220,(hybrid),(hybrid-)
ICT1425,(HetNet),
ICT1444,(HSUPA),
ICT1482,(HMI),
ICT1485,(HCI),
ICT1503,(ID),
ACM1231,(C.3),(C.3)
ICT1525,(IR-UWB),
ICT1585,(Latin: in place),
ICT1578,(I/O),
ICT1607,(ITS),
ICT1615,(IVVR),
ACM267,,(t.ex. TCP/IP)
ICT1632,(IoT),
ICT1634,(ISP),
ICT1653,(IDS),(IDS)
ICT1663,(IPTV),
ICT1666,(Ipsec),
ACM242,(Integrated Services Digital Network),
ICT1686,(JPA),
ICT1701,(KPIs),
ICT1702,(KRI),
ACM1024,(F.4.1),(F.4.1)
ACM835,(3.2),(3.2)
ACM288,(``Mainframe''),"(""""stordatorer"""")"
ACM1035,(K.3.2),(K.3.2)
ICT1784,(LFSR),
ICT1803,(LAN),(LAN)
ICT1832,(LDPC),
ICT1841,(LV-PLC),
ICT1844,(M2M),
ACM1417,,(t.ex. PERT/CPM)
ICT1892,(MSDS),
ICT1907,(MAC),
ICT1908,(MGW),
ACM459,(garbage collection),(skräpsamling)
ICT1927,(MDA),
ICT1957,,(106)
ICT1958,(MIPS),
ICT1970,(MANET),
ICT1987,(MEX),
ICT2008,(MSC),
ICT2009,(MSC),
ICT2024,(MDA),
ACM571,(4.1),
ICT2060,(MMS),
ACM205,(Multiprocessors),(multiprocessorer)
ICT2071,(multi-RAT),(multi-RAT)
ICT2077,(MPLS),
ICT2101,(NFC),(NFC)
ICT2117,(NAT),
ICT2157,(NGN),
ICT2178,(NLFSR),
ICT2206,(OOP),
ICT2207,(ORM),
ICT2247,(LSA),
ICT2253,(OSPF),
ACM234,(OSI),
ICT2254,(openWNS),(openWNS)
ICT2256,(OS),
ACM467,(C),(C)
ICT2268,(OTONES),
ACM1283,(OCR),(OCR)
ICT2272,(OLT),
ICT2274,(ONU),
ICT2276,(OTDR),
ICT2286,(OL),
ICT2290,(OFDM),
ICT2292,(OFDM),
ICT2294,(OSPF-TE),
ICT2311,(expenses),
ICT2337,(PPR),
ICT2384,(P2P),
ICT2385,(P2P),
ACM45,(8),(8)
ACM101,(8),(8)
ACM183,(C.4),(C.4)
ICT2409,(PDA),
ICT2427,(PDCCH),
ACM223,,(pipeline)
ACM212,,(pipeline)
ICT2451,(PaaS),
ICT2461,(POS),
ICT2464,(PPP),
ICT2465,(PPTP),
ICT2479,(PDF),
ICT2499,(PoE),
ICT2534,(PSK),
ICT2525,(PIDF),
ICT2529,(PUA),
ICT2557,(PBX),
ACM1452,(4),(4)
ICT2588,(PLC),
ICT2589,(PLC),
ACM415,,(MERINGS)
ACM1033,(3.2),(3.2)
ACM302,(E),(E)
ACM250,(OSI model),(OSI-modellen)
ICT2625,(PKI),
ICT2626,(PSTN),
ICT2631,(pub/sub),
ICT2645,(QoE),
ICT2646,(QoS),
ICT2676,(RFID),
ACM1139,,(radiositet)
ACM62,(ROM),(ROM)
ICT2703,(RTCP),
ICT2705,(RTOS),
ICT2733,(RGB),
ICT2754,(regex or regexp),
ACM128,(8),
ACM145,(8),
ACM176,(8),(8)
ICT2778,(RADIUS),
ACM982,(general and polynomial),(allmänna och polynomiella)
ACM1030,(procedural and rule-based),(procedur- och regelbaserade)
ACM318,(3.1),
ICT2833,(RSVP-TE),
ICT2841,(web),
ICT2903,(SCN),
ICT2910,,(SBC )
ICT2916,(SVG),
ICT2920,(SIFT),
ICT2956,(SE),(SE)
ICT2959,(SRTP),
ICT2960,(SRTP),
ACM235,,(t.ex. brandväggar)
ACM504,(K.6.5),(K.6.5)
ACM576,,(t.ex. neuronnät)
ICT2994,(SBVR),
ACM620,(1),(1)
ACM60,(7.1),(7.1)
ICT3000,(SAFF),
ICT3014,(SPI),
ICT3031,(SLA),
ICT3033,(SOA),
ICT3042,(SIMPLE),
ICT3045,(STB),
ICT3067,(SMS),
ICT3081,(SIGTRAN),
ICT3082,(SS7),
ACM1235,(G.3),(G.3)
ICT3104,(SSB),
ICT3121,(SME),(SMF)
ICT3125,(SOHO),
ICT3140,,(s.k.)
ICT3143,(OSNS),
ICT3148,(soft-SE),(SE)
ICT3152,(SaaS),
ACM314,(K.6.3),
ACM1429,(2.9),
ACM393,(SQA),(SQA)
ICT3161,(SDN),
ACM345,(F.3.1),
ACM273,(J.7),
ACM1126,,(splines)
ACM63,(SRAM),(SRAM)
ICT3244,(SCTP),
ICT3258,(SMI),
ICT3272,(SIM),
ACM289,(very large),(mycket stora datorer)
ICT3300,(SCADA),
ICT3309,(SVM),
ICT3343,(SoC),
ICT3348,(SUT),
ICT3349,(SoC),
ICT3363,(KM),
ICT3384,(telco),
ICT3385,(telecom),
ICT3432,(3PCC),
ICT3459,(TDC),
ICT3460,(HTML+TIME),
ICT3479,(TCL),
ACM609,(1.3),(1.3)
ICT3506,(TM),
ICT3520,(TLS),
ICT3531,(3-DES),
ICT3532,(TFTP),
ICT3548,(TSP),
ACM1240,(continuous and discrete),(kontinuerliga och diskreta)
ICT3562,(UHF),
ICT3594,(USB),
ICT3634,(UNI),
ICT3654,(VAS),
ICT3667,(VST),(VST)
ICT3689,(VoD),
ICT3697,(VLAN),
ICT3699,(VPN),
ACM169,(very large scale integration),
ICT3714,(VoIP),
ICT3719,(VoWLAN),
ICT3729,(WEKA),
ICT3740,(WDM),
ICT3741,(WDM),
ICT3742,(WDM-PON/WDMPON),
ICT3752,(OWL),
ICT3756,(WebRTC),
ICT3759,(blogs),
ICT3775,(WCDMA),
ICT3781,(widget),
ICT3793,(WLAN),
ICT3795,(M2M),(m2m)
ICT3801,(WPAN),
ICT3805,(WSN),
ICT3833,(WCET),
